plate,row,column,roi,,,,
1,A,1,5,6,,,
1,A,2,,,,,
1,A,3,3,,,,
1,A,4,1,2,,,
1,A,5,4,,,,
1,A,6,,,,,
1,B,1,12,,,,
1,B,2,,,,,
1,B,3,7,14,,,
1,B,4,10,,,,
1,B,5,9,16,,,
1,B,6,8,11,13,15,
1,C,1,20,,,,
1,C,2,24,,,,
1,C,3,23,,,,
1,C,4,17,18,22,,
1,C,5,19,,,,
1,C,6,21,,,,
1,D,1,26,,,,
1,D,2,28,31,,,
1,D,3,30,,,,
1,D,4,32,33,34,,
1,D,5,27,29,,,
1,D,6,25,,,,
2,A,1,3,,,,
2,A,2,6,7,,,
2,A,3,,,,,
2,A,4,4,,,,
2,A,5,2,,,,
2,A,6,1,5,,,
2,B,1,9,,,,
2,B,2,8,,,,
2,B,3,,,,,
2,B,4,10,,,,
2,B,5,,,,,
2,B,6,11,,,,
2,C,1,18,,,,
2,C,2,15,,,,
2,C,3,17,21,,,
2,C,4,13,20,,,
2,C,5,12,16,19,,
2,C,6,22,,,,
2,D,1,26,,,,
2,D,2,,,,,
2,D,3,24,30,,,
2,D,4,25,27,31,,
2,D,5,23,28,29,,
2,D,6,,,,,
3,A,1,8,,,,
3,A,2,9,,,,
3,A,3,1,3,7,,
3,A,4,2,5,10,11,
3,A,5,4,,,,
3,A,6,6,12,,,
3,B,1,16,,,,
3,B,2,20,21,,,
3,B,3,19,,,,
3,B,4,14,,,,
3,B,5,15,18,22,,
3,B,6,13,17,,,
3,C,1,25,26,32,,
3,C,2,23,24,28,30,33
3,C,3,31,,,,
3,C,4,27,,,,
3,C,5,29,,,,
3,C,6,,,,,
3,D,1,42,,,,
3,D,2,44,,,,
3,D,3,38,,,,
3,D,4,36,40,,,
3,D,5,41,,,,
3,D,6,37,39,43,,
4,A,1,10,11,,,
4,A,2,7,,,,
4,A,3,1,3,,,
4,A,4,2,4,5,9,
4,A,5,,,,,
4,A,6,6,8,,,
4,B,1,17,,,,
4,B,2,16,,,,
4,B,3,15,,,,
4,B,4,13,18,,,
4,B,5,,,,,
4,B,6,14,,,,
4,C,1,24,27,29,31,
4,C,2,,,,,
4,C,3,30,,,,
4,C,4,25,28,,,
4,C,5,23,26,,,
4,C,6,32,,,,
4,D,1,33,34,37,,
4,D,2,,,,,
4,D,3,36,,,,
4,D,4,,,,,
4,D,5,35,,,,
4,D,6,,,,,
5,A,1,6,8,,,
5,A,2,1,,,,
5,A,3,2,3,,,
5,A,4,,,,,
5,A,5,5,10,,,
5,A,6,4,7,9,,
5,B,1,19,,,,
5,B,2,12,17,18,,
5,B,3,,,,,
5,B,4,15,16,,,
5,B,5,11,13,14,,
5,B,6,,,,,
5,C,1,,,,,
5,C,2,21,22,23,,
5,C,3,,,,,
5,C,4,,,,,
5,C,5,20,,,,
5,C,6,,,,,
5,D,1,27,,,,
5,D,2,,,,,
5,D,3,,,,,
5,D,4,,,,,
5,D,5,,,,,
5,D,6,24,25,26,,
6,A,1,,,,,
6,A,2,,,,,
6,A,3,3,5,,,
6,A,4,,,,,
6,A,5,2,,,,
6,A,6,1,4,6,,
6,B,1,11,,,,
6,B,2,9,10,,,
6,B,3,7,8,,,
6,B,4,,,,,
6,B,5,,,,,
6,B,6,,,,,
6,C,1,17,20,,,
6,C,2,16,18,19,,
6,C,3,15,,,,
6,C,4,14,,,,
6,C,5,,,,,
6,C,6,12,13,,,
6,D,1,,,,,
6,D,2,21,22,26,,
6,D,3,24,,,,
6,D,4,,,,,
6,D,5,23,25,,,
6,D,6,,,,,
7,A,1,,,,,
7,A,2,,,,,
7,A,3,5,6,7,,
7,A,4,,,,,
7,A,5,2,3,,,
7,A,6,1,4,,,
7,B,1,8,,,,
7,B,2,13,,,,
7,B,3,12,,,,
7,B,4,10,,,,
7,B,5,11,,,,
7,B,6,9,,,,
7,C,1,14,15,19,,
7,C,2,18,,,,
7,C,3,17,,,,
7,C,4,,,,,
7,C,5,16,,,,
7,C,6,,,,,
7,D,1,,,,,
7,D,2,22,,,,
7,D,3,,,,,
7,D,4,,,,,
7,D,5,20,23,24,25,
7,D,6,21,,,,
8,A,1,3,9,10,,
8,A,2,8,,,,
8,A,3,4,,,,
8,A,4,6,,,,
8,A,5,5,,,,
8,A,6,1,2,7,,
8,B,1,16,17,,,
8,B,2,12,,,,
8,B,3,11,,,,
8,B,4,,,,,
8,B,5,14,18,,,
8,B,6,13,15,,,
8,C,1,22,,,,
8,C,2,25,,,,
8,C,3,19,23,,,
8,C,4,21,26,,,
8,C,5,24,,,,
8,C,6,20,27,,,
8,D,1,,,,,
8,D,2,32,,,,
8,D,3,34,36,,,
8,D,4,28,33,37,,
8,D,5,30,,,,
8,D,6,29,31,35,,
9,A,1,5,,,,
9,A,2,2,4,,,
9,A,3,,,,,
9,A,4,1,,,,
9,A,5,3,6,,,
9,A,6,,,,,
9,B,1,7,10,,,
9,B,2,11,,,,
9,B,3,,,,,
9,B,4,9,,,,
9,B,5,8,,,,
9,B,6,,,,,
9,C,1,12,16,,,
9,C,2,13,15,,,
9,C,3,17,,,,
9,C,4,,,,,
9,C,5,14,,,,
9,C,6,,,,,
9,D,1,21,22,,,
9,D,2,,,,,
9,D,3,,,,,
9,D,4,,,,,
9,D,5,20,23,,,
9,D,6,19,,,,
10,A,1,,,,,
10,A,2,,,,,
10,A,3,,,,,
10,A,4,1,4,,,
10,A,5,2,3,,,
10,A,6,5,,,,
10,B,1,9,13,,,
10,B,2,10,,,,
10,B,3,11,12,,,
10,B,4,6,7,,,
10,B,5,,,,,
10,B,6,8,,,,
10,C,1,22,,,,
10,C,2,15,,,,
10,C,3,14,21,,,
10,C,4,16,,,,
10,C,5,19,,,,
10,C,6,17,18,20,,
10,D,1,,,,,
10,D,2,,,,,
10,D,3,23,24,27,,
10,D,4,,,,,
10,D,5,25,26,28,,
10,D,6,,,,,
11,A,1,3,,,,
11,A,2,,,,,
11,A,3,4,,,,
11,A,4,,,,,
11,A,5,,,,,
11,A,6,2,,,,
11,B,1,5,,,,
11,B,2,9,,,,
11,B,3,7,10,,,
11,B,4,6,,,,
11,B,5,8,,,,
11,B,6,,,,,
11,C,1,12,13,,,
11,C,2,11,,,,
11,C,3,,,,,
11,C,4,14,,,,
11,C,5,,,,,
11,C,6,,,,,
11,D,1,22,,,,
11,D,2,18,,,,
11,D,3,20,,,,
11,D,4,19,,,,
11,D,5,15,17,,,
11,D,6,16,21,,,
12,A,1,1,7,8,,
12,A,2,3,4,,,
12,A,3,6,,,,
12,A,4,,,,,
12,A,5,2,5,,,
12,A,6,,,,,
12,B,1,,,,,
12,B,2,13,14,15,,
12,B,3,11,,,,
12,B,4,9,,,,
12,B,5,10,,,,
12,B,6,12,,,,
12,C,1,19,,,,
12,C,2,18,,,,
12,C,3,21,22,23,,
12,C,4,,,,,
12,C,5,16,,,,
12,C,6,17,20,,,
12,D,1,25,30,,,
12,D,2,26,,,,
12,D,3,27,29,,,
12,D,4,,,,,
12,D,5,,,,,
12,D,6,28,,,,
13,A,1,,,,,
13,A,2,1,,,,
13,A,3,2,3,4,5,
13,A,4,,,,,
13,A,5,,,,,
13,A,6,,,,,
13,B,1,7,,,,
13,B,2,14,,,,
13,B,3,10,,,,
13,B,4,12,13,,,
13,B,5,11,,,,
13,B,6,8,9,,,
13,C,1,19,21,22,24,
13,C,2,16,20,,,
13,C,3,23,,,,
13,C,4,17,18,,,
13,C,5,15,,,,
13,C,6,,,,,
13,D,1,,,,,
13,D,2,,,,,
13,D,3,28,27,,,
13,D,4,25,30,31,33,
13,D,5,26,29,32,,
13,D,6,,,,,
14,A,1,6,,,,
14,A,2,,,,,
14,A,3,1,2,3,4,
14,A,4,5,,,,
14,A,5,7,,,,
14,A,6,,,,,
14,B,1,,,,,
14,B,2,9,,,,
14,B,3,10,11,,,
14,B,4,,,,,
14,B,5,8,,,,
14,B,6,,,,,
14,C,1,,,,,
14,C,2,13,15,,,
14,C,3,12,17,,,
14,C,4,14,,,,
14,C,5,,,,,
14,C,6,16,,,,
14,D,1,,,,,
14,D,2,21,,,,
14,D,3,22,,,,
14,D,4,,,,,
14,D,5,19,20,23,,
14,D,6,,,,,
15,A,1,6,,,,
15,A,2,1,3,4,,
15,A,3,2,7,,,
15,A,4,5,8,,,
15,A,5,,,,,
15,A,6,,,,,
15,B,1,,,,,
15,B,2,9,,,,
15,B,3,11,,,,
15,B,4,12,,,,
15,B,5,10,,,,
15,B,6,,,,,
15,C,1,16,19,,,
15,C,2,14,18,,,
15,C,3,,,,,
15,C,4,20,,,,
15,C,5,,,,,
15,C,6,13,15,17,,
15,D,1,21,,,,
15,D,2,,,,,
15,D,3,22,23,,,
15,D,4,,,,,
15,D,5,25,,,,
15,D,6,24,26,,,
16,A,1,,,,,
16,A,2,4,6,,,
16,A,3,,,,,
16,A,4,5,,,,
16,A,5,3,,,,
16,A,6,1,2,,,
16,B,1,10,,,,
16,B,2,9,,,,
16,B,3,,,,,
16,B,4,8,7,,,
16,B,5,,,,,
16,B,6,,,,,
16,C,1,13,,,,
16,C,2,12,,,,
16,C,3,,,,,
16,C,4,11,,,,
16,C,5,,,,,
16,C,6,,,,,
16,D,1,20,,,,
16,D,2,,,,,
16,D,3,15,16,21,,
16,D,4,,,,,
16,D,5,17,18,,,
16,D,6,19,22,,,
17,A,1,,,,,
17,A,2,3,,,,
17,A,3,2,4,,,
17,A,4,,,,,
17,A,5,,,,,
17,A,6,1,,,,
17,B,1,,,,,
17,B,2,6,,,,
17,B,3,,,,,
17,B,4,,,,,
17,B,5,5,7,,,
17,B,6,,,,,
17,C,1,10,13,,,
17,C,2,11,12,,,
17,C,3,,,,,
17,C,4,14,,,,
17,C,5,8,,,,
17,C,6,9,,,,
17,D,1,,,,,
17,D,2,,,,,
17,D,3,19,,,,
17,D,4,,,,,
17,D,5,15,17,18,,
17,D,6,16,,,,
18,A,1,,,,,
18,A,2,,,,,
18,A,3,5,,,,
18,A,4,3,4,,,
18,A,5,2,,,,
18,A,6,1,,,,
18,B,1,14,,,,
18,B,2,13,,,,
18,B,3,6,7,9,,
18,B,4,,,,,
18,B,5,8,11,12,,
18,B,6,10,15,16,,
18,C,1,18,,,,
18,C,2,,,,,
18,C,3,17,,,,
18,C,4,,,,,
18,C,5,19,20,,,
18,C,6,,,,,
18,D,1,28,29,,,
18,D,2,,,,,
18,D,3,24,25,26,,
18,D,4,21,23,,,
18,D,5,22,,,,
18,D,6,27,,,,
19,A,1,2,9,,,
19,A,2,8,,,,
19,A,3,7,,,,
19,A,4,6,,,,
19,A,5,5,,,,
19,A,6,1,3,4,,
19,B,1,12,,,,
19,B,2,14,,,,
19,B,3,11,,,,
19,B,4,,,,,
19,B,5,13,15,,,
19,B,6,10,,,,
19,C,1,18,,,,
19,C,2,22,,,,
19,C,3,21,,,,
19,C,4,16,20,,,
19,C,5,17,,,,
19,C,6,19,23,,,
19,D,1,27,,,,
19,D,2,26,29,,,
19,D,3,,,,,
19,D,4,25,28,,,
19,D,5,,,,,
19,D,6,24,,,,
20,A,1,,,,,
20,A,2,2,,,,
20,A,3,1,,,,
20,A,4,,,,,
20,A,5,,,,,
20,A,6,,,,,
20,B,1,7,,,,
20,B,2,6,,,,
20,B,3,,,,,
20,B,4,3,4,,,
20,B,5,,,,,
20,B,6,5,,,,
20,C,1,10,,,,
20,C,2,9,,,,
20,C,3,8,,,,
20,C,4,,,,,
20,C,5,,,,,
20,C,6,11,,,,
20,D,1,,,,,
20,D,2,,,,,
20,D,3,13,14,,,
20,D,4,12,,,,
20,D,5,15,16,,,
20,D,6,,,,,
21,A,1,1,2,,,
21,A,2,,,,,
21,A,3,,,,,
21,A,4,,,,,
21,A,5,3,,,,
21,A,6,,,,,
21,B,1,,,,,
21,B,2,6,,,,
21,B,3,,,,,
21,B,4,5,,,,
21,B,5,4,,,,
21,B,6,,,,,
21,C,1,7,8,,,
21,C,2,13,,,,
21,C,3,,,,,
21,C,4,9,11,,,
21,C,5,14,15,16,,
21,C,6,10,12,,,
21,D,1,18,19,,,
21,D,2,,,,,
21,D,3,23,27,,,
21,D,4,25,,,,
21,D,5,20,22,24,26,
21,D,6,21,,,,
22,A,1,6,8,,,
22,A,2,,,,,
22,A,3,4,5,,,
22,A,4,,,,,
22,A,5,3,7,,,
22,A,6,,,,,
22,B,1,10,11,,,
22,B,2,12,,,,
22,B,3,13,,,,
22,B,4,14,,,,
22,B,5,,,,,
22,B,6,9,,,,
22,C,1,,,,,
22,C,2,16,21,23,,
22,C,3,24,,,,
22,C,4,15,18,,,
22,C,5,19,,,,
22,C,6,17,20,22,,
22,D,1,,,,,
22,D,2,26,,,,
22,D,3,27,,,,
22,D,4,25,,,,
22,D,5,,,,,
22,D,6,28,,,,
23,A,1,2,,,,
23,A,2,,,,,
23,A,3,,,,,
23,A,4,1,3,,,
23,A,5,,,,,
23,A,6,,,,,
23,B,1,6,7,,,
23,B,2,8,10,,,
23,B,3,4,9,,,
23,B,4,13,,,,
23,B,5,12,,,,
23,B,6,5,11,,,
23,C,1,,,,,
23,C,2,15,,,,
23,C,3,,,,,
23,C,4,14,19,,,
23,C,5,17,,,,
23,C,6,,,,,
23,D,1,,,,,
23,D,2,22,23,,,
23,D,3,19,,,,
23,D,4,21,24,,,
23,D,5,18,20,,,
23,D,6,,,,,
24,A,1,5,,,,
24,A,2,6,,,,
24,A,3,,,,,
24,A,4,7,,,,
24,A,5,4,,,,
24,A,6,2,3,,,
24,B,1,,,,,
24,B,2,12,14,,,
24,B,3,9,15,,,
24,B,4,10,11,,,
24,B,5,,,,,
24,B,6,13,,,,
24,C,1,18,,,,
24,C,2,17,20,,,
24,C,3,,,,,
24,C,4,,,,,
24,C,5,16,19,,,
24,C,6,21,22,,,
24,D,1,,,,,
24,D,2,,,,,
24,D,3,23,25,26,,
24,D,4,,,,,
24,D,5,24,,,,
24,D,6,,,,,
