plate,row,column,roi,,
1,A,1,3,,
1,A,2,2,,
1,A,3,4,,
1,A,4,6,,
1,A,5,5,,
1,A,6,7,,
1,B,1,11,,
1,B,2,12,,
1,B,3,10,14,
1,B,4,16,,
1,B,5,13,18,
1,B,6,15,17,
1,C,1,19,,
1,C,2,21,26,
1,C,3,20,24,
1,C,4,25,,
1,C,5,22,27,
1,C,6,23,,
1,D,1,29,,
1,D,2,28,31,37
1,D,3,32,,
1,D,4,30,35,
1,D,5,33,34,
1,D,6,36,,
2,A,1,3,,
2,A,2,2,,
2,A,3,4,,
2,A,4,6,,
2,A,5,5,,
2,A,6,1,,
2,B,1,7,,
2,B,2,8,,
2,B,3,9,,
2,B,4,10,,
2,B,5,11,,
2,B,6,12,13,
2,C,1,14,,
2,C,2,17,,
2,C,3,18,,
2,C,4,15,,
2,C,5,16,19,
2,C,6,20,,
2,D,1,22,,
2,D,2,24,,
2,D,3,25,,
2,D,4,23,,
2,D,5,21,26,
2,D,6,27,,
3,A,1,2,,
3,A,2,1,,
3,A,3,3,,
3,A,4,6,,
3,A,5,4,,
3,A,6,5,,
3,B,1,7,,
3,B,2,8,,
3,B,3,9,,
3,B,4,11,,
3,B,5,10,,
3,B,6,12,,
3,C,1,14,,
3,C,2,13,,
3,C,3,18,,
3,C,4,16,,
3,C,5,15,,
3,C,6,17,,
3,D,1,20,,
3,D,2,21,,
3,D,3,23,,
3,D,4,19,24,
3,D,5,25,,
3,D,6,22,,
4,A,1,5,,
4,A,2,6,,
4,A,3,1,,
4,A,4,2,3,
4,A,5,7,,
4,A,6,4,,
4,B,1,,,
4,B,2,9,,
4,B,3,10,13,
4,B,4,11,,
4,B,5,12,,
4,B,6,8,,
4,C,1,15,,
4,C,2,16,,
4,C,3,14,,
4,C,4,17,,
4,C,5,18,,
4,C,6,19,20,
4,D,1,21,,
4,D,2,22,,
4,D,3,23,,
4,D,4,24,,
4,D,5,,,
4,D,6,25,,
5,A,1,6,,
5,A,2,1,,
5,A,3,2,7,
5,A,4,4,,
5,A,5,3,,
5,A,6,5,,
5,B,1,9,,
5,B,2,8,,
5,B,3,11,,
5,B,4,12,,
5,B,5,10,,
5,B,6,13,,
5,C,1,16,,
5,C,2,14,,
5,C,3,18,,
5,C,4,,,
5,C,5,15,,
5,C,6,17,,
5,D,1,19,,
5,D,2,20,,
5,D,3,22,,
5,D,4,23,,
5,D,5,24,,
5,D,6,21,,
6,A,1,4,,
6,A,2,3,,
6,A,3,2,8,
6,A,4,1,6,
6,A,5,5,,
6,A,6,7,,
6,B,1,9,,
6,B,2,11,14,
6,B,3,12,,
6,B,4,13,,
6,B,5,10,,
6,B,6,15,16,18
6,C,1,21,,
6,C,2,20,,
6,C,3,22,,
6,C,4,19,23,
6,C,5,25,,
6,C,6,24,,
6,D,1,27,,
6,D,2,28,,
6,D,3,32,33,
6,D,4,29,,
6,D,5,30,,
6,D,6,31,,
7,A,1,3,,
7,A,2,2,,
7,A,3,1,7,
7,A,4,6,,
7,A,5,4,,
7,A,6,5,,
7,B,1,8,,
7,B,2,10,,
7,B,3,11,,
7,B,4,13,,
7,B,5,12,,
7,B,6,9,,
7,C,1,14,,
7,C,2,15,,
7,C,3,16,,
7,C,4,17,,
7,C,5,18,,
7,C,6,19,,
7,D,1,21,,
7,D,2,23,,
7,D,3,24,,
7,D,4,22,,
7,D,5,20,,
7,D,6,25,,
8,A,1,1,,
8,A,2,4,,
8,A,3,2,,
8,A,4,3,,
8,A,5,5,,
8,A,6,6,,
8,B,1,8,,
8,B,2,7,,
8,B,3,9,,
8,B,4,10,,
8,B,5,11,,
8,B,6,12,,
8,C,1,13,,
8,C,2,15,,
8,C,3,16,,
8,C,4,14,,
8,C,5,18,,
8,C,6,17,,
8,D,1,20,,
8,D,2,19,,
8,D,3,22,,
8,D,4,23,,
8,D,5,24,,
8,D,6,21,,
9,A,1,2,,
9,A,2,1,,
9,A,3,3,,
9,A,4,5,,
9,A,5,4,,
9,A,6,6,,
9,B,1,13,,
9,B,2,8,12,
9,B,3,9,,
9,B,4,7,14,
9,B,5,10,,
9,B,6,11,,
9,C,1,15,,
9,C,2,16,,
9,C,3,21,,
9,C,4,18,,
9,C,5,17,20,
9,C,6,19,,
9,D,1,23,,
9,D,2,22,,
9,D,3,27,,
9,D,4,26,,
9,D,5,24,,
9,D,6,25,,
10,A,1,2,,
10,A,2,3,,
10,A,3,5,,
10,A,4,1,,
10,A,5,6,,
10,A,6,4,,
10,B,1,8,,
10,B,2,7,,
10,B,3,10,,
10,B,4,9,,
10,B,5,11,12,
10,B,6,,,
10,C,1,14,,
10,C,2,13,,
10,C,3,16,,
10,C,4,17,,
10,C,5,15,,
10,C,6,18,,
10,D,1,20,,
10,D,2,19,,
10,D,3,21,,
10,D,4,22,,
10,D,5,24,,
10,D,6,23,,
11,A,1,2,,
11,A,2,4,,
11,A,3,3,,
11,A,4,5,,
11,A,5,7,,
11,A,6,1,6,
11,B,1,12,,
11,B,2,11,,
11,B,3,9,,
11,B,4,10,,
11,B,5,13,,
11,B,6,8,,
11,C,1,14,,
11,C,2,15,,
11,C,3,17,,
11,C,4,18,,
11,C,5,16,,
11,C,6,19,,
11,D,1,20,,
11,D,2,21,,
11,D,3,22,,
11,D,4,23,,
11,D,5,25,,
11,D,6,24,,
12,A,1,2,,
12,A,2,3,6,
12,A,3,1,,
12,A,4,5,,
12,A,5,4,,
12,A,6,7,,
12,B,1,8,,
12,B,2,10,,
12,B,3,9,,
12,B,4,12,,
12,B,5,11,,
12,B,6,13,,
12,C,1,15,,
12,C,2,16,,
12,C,3,17,,
12,C,4,19,,
12,C,5,18,,
12,C,6,14,20,
12,D,1,21,,
12,D,2,23,,
12,D,3,22,,
12,D,4,24,,
12,D,5,26,,
12,D,6,25,,
13,A,1,2,,
13,A,2,4,,
13,A,3,3,5,
13,A,4,6,,
13,A,5,1,,
13,A,6,7,,
13,B,1,9,,
13,B,2,8,,
13,B,3,10,,
13,B,4,11,,
13,B,5,13,,
13,B,6,12,,
13,C,1,15,,
13,C,2,16,,
13,C,3,19,,
13,C,4,18,20,
13,C,5,14,,
13,C,6,17,,
13,D,1,23,,
13,D,2,21,,
13,D,3,22,,
13,D,4,24,,
13,D,5,26,,
13,D,6,25,,
14,A,1,2,,
14,A,2,4,,
14,A,3,1,,
14,A,4,3,,
14,A,5,5,,
14,A,6,6,,
14,B,1,8,,
14,B,2,9,,
14,B,3,7,,
14,B,4,10,,
14,B,5,11,,
14,B,6,12,,
14,C,1,14,,
14,C,2,13,,
14,C,3,15,,
14,C,4,16,,
14,C,5,18,,
14,C,6,17,,
14,D,1,19,,
14,D,2,20,,
14,D,3,21,,
14,D,4,23,,
14,D,5,22,,
14,D,6,24,,
15,A,1,1,,
15,A,2,3,,
15,A,3,4,,
15,A,4,5,,
15,A,5,2,,
15,A,6,6,,
15,B,1,7,,
15,B,2,9,,
15,B,3,8,,
15,B,4,10,,
15,B,5,12,,
15,B,6,11,,
15,C,1,13,,
15,C,2,14,,
15,C,3,15,,
15,C,4,16,,
15,C,5,17,,
15,C,6,18,,
15,D,1,21,,
15,D,2,19,,
15,D,3,20,,
15,D,4,23,,
15,D,5,24,,
15,D,6,22,,
16,A,1,5,,
16,A,2,2,,
16,A,3,3,,
16,A,4,4,,
16,A,5,6,,
16,A,6,1,,
16,B,1,9,,
16,B,2,7,,
16,B,3,10,,
16,B,4,8,,
16,B,5,,,
16,B,6,11,,
16,C,1,15,,
16,C,2,14,,
16,C,3,12,,
16,C,4,16,,
16,C,5,17,,
16,C,6,13,,
16,D,1,18,,
16,D,2,20,,
16,D,3,21,,
16,D,4,23,,
16,D,5,19,,
16,D,6,22,,
17,A,1,1,,
17,A,2,2,,
17,A,3,3,,
17,A,4,4,,
17,A,5,5,7,
17,A,6,6,,
17,B,1,9,,
17,B,2,10,,
17,B,3,8,,
17,B,4,13,,
17,B,5,11,,
17,B,6,12,,
17,C,1,14,,
17,C,2,15,,
17,C,3,17,,
17,C,4,18,,
17,C,5,19,,
17,C,6,16,,
17,D,1,23,,
17,D,2,20,,
17,D,3,21,,
17,D,4,22,,
17,D,5,25,,
17,D,6,24,,
18,A,1,3,,
18,A,2,4,,
18,A,3,6,,
18,A,4,2,,
18,A,5,1,,
18,A,6,5,,
18,B,1,12,,
18,B,2,11,,
18,B,3,7,9,
18,B,4,13,,
18,B,5,10,,
18,B,6,8,,
18,C,1,16,,
18,C,2,14,,
18,C,3,15,,
18,C,4,17,,
18,C,5,19,,
18,C,6,18,,
18,D,1,21,,
18,D,2,22,,
18,D,3,25,,
18,D,4,23,,
18,D,5,20,,
18,D,6,24,,
19,A,1,1,,
19,A,2,5,,
19,A,3,2,,
19,A,4,4,,
19,A,5,3,,
19,A,6,6,,
19,B,1,7,,
19,B,2,9,,
19,B,3,8,,
19,B,4,10,,
19,B,5,11,,
19,B,6,12,,
19,C,1,15,,
19,C,2,14,,
19,C,3,17,,
19,C,4,13,,
19,C,5,16,,
19,C,6,18,,
19,D,1,23,,
19,D,2,19,,
19,D,3,20,,
19,D,4,24,,
19,D,5,22,,
19,D,6,21,,
20,A,1,1,2,7
20,A,2,3,,
20,A,3,4,,
20,A,4,5,,
20,A,5,6,,
20,A,6,,,
20,B,1,10,,
20,B,2,9,,
20,B,3,12,,
20,B,4,11,,
20,B,5,13,,
20,B,6,8,,
20,C,1,15,,
20,C,2,14,16,
20,C,3,17,,
20,C,4,19,,
20,C,5,18,,
20,C,6,,,
20,D,1,22,,
20,D,2,24,,
20,D,3,25,,
20,D,4,23,,
20,D,5,21,,
20,D,6,20,,
21,A,1,2,,
21,A,2,1,,
21,A,3,3,,
21,A,4,6,,
21,A,5,4,,
21,A,6,5,,
21,B,1,8,,
21,B,2,9,,
21,B,3,7,,
21,B,4,11,,
21,B,5,10,,
21,B,6,12,,
21,C,1,13,,
21,C,2,14,,
21,C,3,18,,
21,C,4,17,,
21,C,5,16,,
21,C,6,15,,
21,D,1,19,,
21,D,2,24,,
21,D,3,23,,
21,D,4,21,,
21,D,5,20,,
21,D,6,22,,
22,A,1,3,,
22,A,2,1,,
22,A,3,2,,
22,A,4,4,,
22,A,5,5,,
22,A,6,6,,
22,B,1,7,13,
22,B,2,8,,
22,B,3,9,,
22,B,4,11,14,
22,B,5,10,,
22,B,6,12,,
22,C,1,16,,
22,C,2,17,,
22,C,3,20,,
22,C,4,15,,
22,C,5,18,,
22,C,6,19,,
22,D,1,26,,
22,D,2,21,,
22,D,3,22,,
22,D,4,24,,
22,D,5,23,,
22,D,6,25,,
23,A,1,1,,
23,A,2,3,,
23,A,3,2,,
23,A,4,4,,
23,A,5,5,,
23,A,6,6,,
23,B,1,7,,
23,B,2,8,,
23,B,3,10,,
23,B,4,9,,
23,B,5,11,,
23,B,6,12,,
23,C,1,14,,
23,C,2,17,,
23,C,3,13,16,20
23,C,4,18,,
23,C,5,15,,
23,C,6,19,21,
23,D,1,22,,
23,D,2,23,,
23,D,3,24,,
23,D,4,26,,
23,D,5,25,,
23,D,6,27,28,
24,A,1,1,,
24,A,2,3,,
24,A,3,2,,
24,A,4,4,,
24,A,5,5,,
24,A,6,6,,
24,B,1,9,,
24,B,2,11,,
24,B,3,7,,
24,B,4,8,,
24,B,5,10,,
24,B,6,12,,
24,C,1,13,,
24,C,2,14,,
24,C,3,17,,
24,C,4,18,,
24,C,5,15,,
24,C,6,16,,
24,D,1,19,,
24,D,2,20,,
24,D,3,23,25,
24,D,4,21,,
24,D,5,24,,
24,D,6,22,,
